ma_phieu,ten_cong_ty_an_danh,linh_vuc_kinh_doanh,quy_mo_nhan_su,vi_tri_nguoi_tra_loi,phan_mem_phan_tich_hien_tai,chi_phi_phan_mem_usd_nam,muc_do_hai_long_phan_mem_hien_tai_1_5,tinh_nang_quan_trong_nhat,nhu_cau_phan_tich_web_va_social_1_5,nhu_cau_phan_tich_noi_dung_van_ban_1_5,nhu_cau_mo_hinh_SEM_SmartPLS_1_5,nhu_cau_bao_cao_tu_dong_PDF_Word_1_5,nhu_cau_dashboard_realtime_1_5,san_sang_chuyen_doi_neu_chi_phi_thap,muc_chi_phi_chap_nhan_usd_thang,tam_quan_trong_bao_mat_du_lieu_1_5,tam_quan_trong_ho_tro_ky_thuat_1_5,tam_quan_trong_tich_hop_he_thong_1_5,kho_khan_chinh_voi_phan_mem_hien_tai,kien_nghi_them,thoi_gian_hoan_thanh_phut
DN001,Cong ty A,Tu van - Nghien cuu thi truong,10-50 nguoi (Doanh nghiep nho),Data Scientist,Stata,500,2,Kiem dinh gia thuyet (t-test/ANOVA),3,5,3,4,4,Can nhac,500,4,4,4,Thieu tinh nang SmartPLS trong cong cu mien phi,Dam bao bao mat ISO 27001,21
DN002,Cong ty B,San xuat - Che bien,10-50 nguoi (Doanh nghiep nho),Truong phong nhan su,SPSS,1000,1,Phan tich web / scraping,4,4,2,3,1,Can nhac,100,4,5,2,"Giao dien phuc tap, can dao tao nhieu",Co API ket noi voi ERP / CRM hien tai,31
DN003,Cong ty C,Bat dong san,Tren 1000 nguoi (Tap doan),Chuyen vien phan tich du lieu,R,50000,4,SEM / CFA,4,5,2,4,3,Co,50,5,4,5,Thieu tinh nang SmartPLS trong cong cu mien phi,Bao cao tu dong dinh ky (tuan / thang),35
DN004,Cong ty D,Thuong mai dien tu,Duoi 10 nguoi (Startup/Micro),Data Scientist,SmartPLS,200,4,Phan tich nhan to EFA,5,4,3,4,5,Co,500,4,2,4,Chi phi ban quyen qua cao (SPSS/AMOS),Co API ket noi voi ERP / CRM hien tai,34
DN005,Cong ty E,Logistic,10-50 nguoi (Doanh nghiep nho),Giam doc / CEO,Python + pandas,3000,3,Mo hinh hoi quy,5,5,3,4,3,Co,300,4,4,4,Thieu tinh nang SmartPLS trong cong cu mien phi,Dashboard theo thoi gian thuc,15
DN006,Cong ty F,Bat dong san,10-50 nguoi (Doanh nghiep nho),Business Analyst,Stata,2000,3,Mo hinh hoi quy,5,4,2,1,4,Khong,300,4,5,3,Thieu tinh nang SmartPLS trong cong cu mien phi,Bao cao tu dong dinh ky (tuan / thang),24
DN007,Cong ty G,Y te - Duoc pham,51-200 nguoi (Doanh nghiep vua),Chuyen vien phan tich du lieu,R,10000,4,Dashboard tu dong,4,5,1,3,4,Co,100,3,5,4,Khong tich hop voi he thong ERP hien tai,Dam bao bao mat ISO 27001,24
DN008,Cong ty H,Cong nghe thong tin,51-200 nguoi (Doanh nghiep vua),Data Scientist,Stata,10000,3,Dashboard tu dong,4,4,5,4,4,Can nhac,1000,3,4,3,Ho tro ky thuat cham / khong co tieng Viet,Giao dien no-code cho nguoi khong chuyen IT,35
DN009,Cong ty I,Giao duc & Dao tao,10-50 nguoi (Doanh nghiep nho),CFO / Ke toan truong,Stata,500,1,SEM / CFA,4,1,3,4,4,Co,300,4,3,5,Chi phi ban quyen qua cao (SPSS/AMOS),Giao dien no-code cho nguoi khong chuyen IT,28
DN010,Cong ty J,Cong nghe thong tin,10-50 nguoi (Doanh nghiep nho),Truong phong nhan su,Python + pandas,1000,5,Kiem dinh gia thuyet (t-test/ANOVA),3,3,4,5,4,Co,300,5,5,4,"Giao dien phuc tap, can dao tao nhieu",Dashboard theo thoi gian thuc,20
DN011,Cong ty K,Giao duc & Dao tao,201-1000 nguoi (Doanh nghiep lon),Chuyen vien phan tich du lieu,SmartPLS,10000,3,Mo hinh hoi quy,4,4,3,3,4,Khong,200,3,5,5,Thieu tinh nang SmartPLS trong cong cu mien phi,Ho tro nhieu nguoi dung cung luc,33
DN012,Cong ty L,Tai chinh - Ngan hang,Duoi 10 nguoi (Startup/Micro),Business Analyst,Khac,0,3,Mo hinh hoi quy,3,4,4,4,4,Can nhac,100,3,4,2,Bao mat du lieu chua dam bao,Giao dien no-code cho nguoi khong chuyen IT,16
DN013,Cong ty M,Du lich - Khach san,10-50 nguoi (Doanh nghiep nho),Truong phong R&D,SmartPLS,2000,1,Kiem dinh gia thuyet (t-test/ANOVA),5,3,2,4,3,Can nhac,50,5,5,3,Ho tro ky thuat cham / khong co tieng Viet,Co API ket noi voi ERP / CRM hien tai,26
DN014,Cong ty N,Y te - Duoc pham,10-50 nguoi (Doanh nghiep nho),Truong phong Marketing,R,200,4,Kiem dinh gia thuyet (t-test/ANOVA),4,3,5,5,4,Can nhac,200,4,2,3,Khong tich hop voi he thong ERP hien tai,Tich hop SEM va SmartPLS trong mot nen tang duy nhat,35
DN015,Cong ty O,Thuong mai dien tu,Duoi 10 nguoi (Startup/Micro),Truong phong nhan su,Python + pandas,200,3,Phan tich cum (Cluster),5,3,5,5,5,Khong,200,5,4,5,Khong ho tro phan tich web nang cao,Ho tro nhieu nguoi dung cung luc,20
DN016,Cong ty P,Tu van - Nghien cuu thi truong,Duoi 10 nguoi (Startup/Micro),Business Analyst,SPSS,0,2,Dashboard tu dong,2,5,5,5,3,Co,100,3,4,4,Ho tro ky thuat cham / khong co tieng Viet,Bao cao tu dong dinh ky (tuan / thang),25
DN017,Cong ty Q,Cong nghe thong tin,51-200 nguoi (Doanh nghiep vua),Chuyen vien phan tich du lieu,SmartPLS,2000,4,Dashboard tu dong,1,5,3,4,4,Khong,100,4,5,3,Chi phi ban quyen qua cao (SPSS/AMOS),Ho tro nhieu nguoi dung cung luc,35
DN018,Cong ty R,Bat dong san,Tren 1000 nguoi (Tap doan),Chuyen vien phan tich du lieu,Stata,100000,2,Phan tich web / scraping,5,4,1,5,3,Can nhac,50,5,2,4,Thieu tinh nang SmartPLS trong cong cu mien phi,Co API ket noi voi ERP / CRM hien tai,29
DN019,Cong ty S,Cong nghe thong tin,51-200 nguoi (Doanh nghiep vua),Chuyen vien phan tich du lieu,Khac,2000,3,Phan tich nhan to EFA,2,4,3,5,2,Can nhac,500,3,4,5,"Giao dien phuc tap, can dao tao nhieu",Co API ket noi voi ERP / CRM hien tai,20
DN020,Cong ty T,Tai chinh - Ngan hang,51-200 nguoi (Doanh nghiep vua),CFO / Ke toan truong,AMOS,2000,3,Phan tich cum (Cluster),4,2,3,5,3,Co,300,2,2,2,Khong tich hop voi he thong ERP hien tai,Bao cao tu dong dinh ky (tuan / thang),21
DN021,Cong ty U,Y te - Duoc pham,Duoi 10 nguoi (Startup/Micro),Giam doc / CEO,Python + pandas,200,2,Phan tich web / scraping,3,3,3,4,4,Co,50,5,4,3,Thieu tinh nang SmartPLS trong cong cu mien phi,Co API ket noi voi ERP / CRM hien tai,17
DN022,Cong ty V,Giao duc & Dao tao,51-200 nguoi (Doanh nghiep vua),Data Scientist,Khac,5000,1,Dashboard tu dong,3,3,4,5,2,Co,50,4,5,5,Ho tro ky thuat cham / khong co tieng Viet,Ho tro nhieu nguoi dung cung luc,26
DN023,Cong ty W,Giao duc & Dao tao,201-1000 nguoi (Doanh nghiep lon),Giam doc / CEO,R,5000,4,Phan tich nhan to EFA,5,3,3,5,3,Co,50,5,4,3,Ho tro ky thuat cham / khong co tieng Viet,Dashboard theo thoi gian thuc,29
DN024,Cong ty X,Y te - Duoc pham,Duoi 10 nguoi (Startup/Micro),Truong phong Marketing,SmartPLS,0,3,Phan tich cum (Cluster),5,5,3,5,5,Can nhac,100,5,5,5,Thieu tinh nang SmartPLS trong cong cu mien phi,Dam bao bao mat ISO 27001,24
DN025,Cong ty Y,San xuat - Che bien,51-200 nguoi (Doanh nghiep vua),Truong phong R&D,SPSS,10000,1,Dashboard tu dong,1,4,4,5,3,Khong,200,5,1,5,Ho tro ky thuat cham / khong co tieng Viet,Bao cao tu dong dinh ky (tuan / thang),21
DN026,Cong ty Z,Cong nghe thong tin,10-50 nguoi (Doanh nghiep nho),Truong phong R&D,SPSS,200,4,Phan tich nhan to EFA,3,3,3,3,3,Can nhac,200,3,5,3,Khong ho tro phan tich web nang cao,Dashboard theo thoi gian thuc,20
DN027,Cong ty AA,Du lich - Khach san,10-50 nguoi (Doanh nghiep nho),Truong phong Marketing,Python + pandas,2000,3,Phan tich nhan to EFA,3,5,4,3,4,Can nhac,200,4,3,3,"Giao dien phuc tap, can dao tao nhieu",Ho tro nhieu nguoi dung cung luc,19
DN028,Cong ty BB,Cong nghe thong tin,51-200 nguoi (Doanh nghiep vua),Truong phong Marketing,SmartPLS,500,1,Kiem dinh gia thuyet (t-test/ANOVA),4,4,4,2,4,Can nhac,50,1,5,2,Khong tich hop voi he thong ERP hien tai,Bao cao tu dong dinh ky (tuan / thang),22
DN029,Cong ty CC,Logistic,51-200 nguoi (Doanh nghiep vua),Business Analyst,Stata,1000,3,Phan tich web / scraping,4,2,2,1,5,Co,100,2,4,3,"Giao dien phuc tap, can dao tao nhieu",Tich hop SEM va SmartPLS trong mot nen tang duy nhat,32
DN030,Cong ty DD,Du lich - Khach san,51-200 nguoi (Doanh nghiep vua),CFO / Ke toan truong,SPSS,2000,3,SEM / CFA,4,3,2,5,4,Can nhac,100,3,4,3,Bao mat du lieu chua dam bao,Ho tro nhieu nguoi dung cung luc,31
DN031,Cong ty EE,Y te - Duoc pham,10-50 nguoi (Doanh nghiep nho),Truong phong Marketing,AMOS,200,1,SEM / CFA,4,5,4,5,3,Co,500,5,5,3,"Giao dien phuc tap, can dao tao nhieu",Dam bao bao mat ISO 27001,25
DN032,Cong ty FF,Tu van - Nghien cuu thi truong,Duoi 10 nguoi (Startup/Micro),Data Scientist,Python + pandas,0,4,Mo hinh hoi quy,4,4,4,5,3,Khong,1000,4,2,4,Bao mat du lieu chua dam bao,Tich hop SEM va SmartPLS trong mot nen tang duy nhat,15
DN033,Cong ty GG,Du lich - Khach san,51-200 nguoi (Doanh nghiep vua),CFO / Ke toan truong,AMOS,10000,5,Mo hinh hoi quy,3,5,2,5,5,Co,200,5,5,1,Thieu tinh nang SmartPLS trong cong cu mien phi,Ho tro nhieu nguoi dung cung luc,31
DN034,Cong ty HH,Giao duc & Dao tao,51-200 nguoi (Doanh nghiep vua),Truong phong R&D,Python + pandas,1000,3,Kiem dinh gia thuyet (t-test/ANOVA),3,5,3,5,3,Can nhac,200,4,5,5,Khong tich hop voi he thong ERP hien tai,Bao cao tu dong dinh ky (tuan / thang),19
DN035,Cong ty II,San xuat - Che bien,201-1000 nguoi (Doanh nghiep lon),Chuyen vien phan tich du lieu,Excel,10000,1,Kiem dinh gia thuyet (t-test/ANOVA),1,3,4,1,3,Can nhac,100,5,1,4,"Giao dien phuc tap, can dao tao nhieu",Giao dien no-code cho nguoi khong chuyen IT,34
DN036,Cong ty JJ,Cong nghe thong tin,201-1000 nguoi (Doanh nghiep lon),Business Analyst,AMOS,10000,2,SEM / CFA,4,5,4,1,2,Co,100,4,4,5,Ho tro ky thuat cham / khong co tieng Viet,Bao cao tu dong dinh ky (tuan / thang),19
DN037,Cong ty KK,Tai chinh - Ngan hang,51-200 nguoi (Doanh nghiep vua),Chuyen vien phan tich du lieu,SPSS,1000,4,Phan tich cum (Cluster),4,5,3,4,4,Co,200,5,3,4,"Giao dien phuc tap, can dao tao nhieu",Co API ket noi voi ERP / CRM hien tai,30
