ma_phieu,loai_doi_tuong,truong_dai_hoc,khoa_nganh,gioi_tinh,do_tuoi,hoc_vi_hoc_ham,nam_hoc_hoac_nam_giang_day,hieu_biet_phan_mem_phan_tich_1_5,phan_mem_dang_su_dung,tan_suat_su_dung_1_5,muc_do_hai_long_phan_mem_hien_tai_1_5,kho_khan_chinh_khi_su_dung,nhu_cau_phan_tich_noi_dung_van_ban_1_5,nhu_cau_kiem_tra_fact_tu_nguon_khoa_hoc_1_5,nhu_cau_phan_tich_bao_cao_hoc_thuat_1_5,nhu_cau_truc_quan_hoa_du_lieu_1_5,nhu_cau_xuat_bao_cao_tu_dong_1_5,san_sang_su_dung_cong_cu_mien_phi,muc_phi_chap_nhan_usd_thang,danh_gia_tam_quan_trong_ai_trong_giao_duc_1_5,kha_nang_tich_hop_vao_giang_day_1_5,kien_nghi_them,thoi_gian_hoan_thanh_phut
SV0176,Sinh vien,DH Kinh te TP.HCM,Giao duc hoc,Nu,23,Dai hoc,3,3,Khong su dung,2,2,Giao dien phuc tap,5,5,5,4,4,Co the,10,4,5,Tich hop AI de goi y phan tich,22
SV0168,Sinh vien,DH Can Tho,Ky thuat,Nu,18,Dai hoc,4,5,Excel,5,3,Khong duoc dao tao su dung,3,5,5,2,3,Co,0,3,3,Co giao dien tieng Viet,20
SV0198,Sinh vien,DH Bach khoa HN,Y khoa,Nu,22,Dai hoc,2,4,Khong su dung,2,4,Khong co tai lieu tieng Viet,3,5,5,3,4,Co,0,4,4,Mien phi cho sinh vien,21
SV0071,Sinh vien,DH Da Nang,Tai chinh - Ngan hang,Nu,20,Dai hoc,5,1,Excel,5,3,Khong co tai lieu tieng Viet,3,5,3,3,5,Co,5,5,4,Co ban bao cao tu dong,13
SV0085,Sinh vien,DH Thuong mai,Cong nghe thong tin,Nam,18,Dai hoc,5,1,Excel,1,3,Khong duoc dao tao su dung,3,5,5,4,3,Khong,5,5,1,Co giao dien tieng Viet,16
GV0042,Giang vien,DH Ngoai thuong,Luat,Nam,52,TS,24,4,SmartPLS,1,3,Khong co tai lieu tieng Viet,5,5,3,3,3,Khong,10,5,4,Co ban bao cao tu dong,26
SV0216,Sinh vien,DH Kinh te TP.HCM,Tai chinh - Ngan hang,Nam,22,Dai hoc,4,1,Excel,4,3,Khong duoc dao tao su dung,3,4,3,4,4,Co,0,2,2,Ho tro nhieu dinh dang file,18
GV0064,Giang vien,DH Su pham HN,Xa hoi hoc,Nam,38,TS,5,5,Khac,4,3,Chi phi ban quyen cao,4,4,3,4,4,Co the,10,4,4,Ho tro nhieu dinh dang file,13
GV0057,Giang vien,DH Su pham HN,Xa hoi hoc,Nam,42,TS,13,4,Excel,5,3,Chi phi ban quyen cao,2,3,4,5,3,Co,10,4,3,Co ban bao cao tu dong,15
GV0017,Giang vien,DH Bach khoa HN,Ke toan - Kiem toan,Nam,43,PGS.TS,14,2,Stata,4,4,Thieu tinh nang can thiet,5,4,4,3,5,Co,30,4,2,Mien phi cho sinh vien,12
SV0165,Sinh vien,DH Su pham HN,Giao duc hoc,Nu,24,Dai hoc,3,3,Excel,1,1,Giao dien phuc tap,4,5,4,3,5,Co,10,3,4,Mien phi cho sinh vien,10
SV0153,Sinh vien,DH Bach khoa HN,Giao duc hoc,Nu,21,Dai hoc,3,3,R,2,5,Chi phi ban quyen cao,5,5,4,4,2,Co,10,3,1,Co huong dan su dung chi tiet,10
SV0053,Sinh vien,DH Kinh te TP.HCM,Y khoa,Nam,23,Dai hoc,3,3,SPSS,5,3,Khong co tai lieu tieng Viet,2,3,4,4,3,Khong,5,4,4,Co ban bao cao tu dong,10
SV0017,Sinh vien,DH Su pham HN,Marketing,Nam,23,Dai hoc,2,3,R,3,2,Khong co kho khan gi,5,4,5,4,3,Co,0,5,4,Co giao dien tieng Viet,22
SV0003,Sinh vien,DH Ngoai thuong,Ky thuat,Nam,19,Dai hoc,5,3,SPSS,2,2,Chi phi ban quyen cao,5,5,4,4,5,Co,0,4,4,Co ban bao cao tu dong,18
SV0163,Sinh vien,DH Kinh te Quoc dan,Giao duc hoc,Nam,21,Dai hoc,2,1,Khong su dung,2,3,Chi phi ban quyen cao,2,3,4,5,4,Co the,0,4,4,Mien phi cho sinh vien,19
SV0073,Sinh vien,DH Ngoai thuong,Tai chinh - Ngan hang,Nu,21,Dai hoc,5,3,SPSS,2,3,Giao dien phuc tap,5,5,2,3,4,Co the,5,2,5,Co giao dien tieng Viet,12
SV0197,Sinh vien,DH Bach khoa HN,Luat,Nu,23,Dai hoc,1,1,SPSS,4,5,Khong co kho khan gi,3,5,4,3,5,Co,10,2,5,Co ban bao cao tu dong,16
GV0025,Giang vien,DH Hoa Sen,Giao duc hoc,Nam,58,TS,30,4,R,4,5,Thieu tinh nang can thiet,5,2,4,4,5,Co the,0,3,4,Co giao dien tieng Viet,19
GV0036,Giang vien,DH Hoa Sen,Cong nghe thong tin,Nam,51,ThS,18,3,Python,3,3,Giao dien phuc tap,1,4,4,4,5,Khong,5,2,3,Mien phi cho sinh vien,12
SV0040,Sinh vien,DH Kinh te TP.HCM,Xa hoi hoc,Nam,21,Dai hoc,2,3,Excel,2,5,Khong co tai lieu tieng Viet,4,4,2,4,3,Co the,10,4,4,Tich hop AI de goi y phan tich,18
SV0077,Sinh vien,DH Su pham HN,Tai chinh - Ngan hang,Nam,22,Dai hoc,1,3,Khong su dung,3,1,Khong co tai lieu tieng Viet,1,3,4,5,3,Co,0,4,2,Ho tro nhieu dinh dang file,19
GV0058,Giang vien,DH Can Tho,Luat,Nu,56,TS,26,3,R,4,3,Khong co tai lieu tieng Viet,4,4,5,4,5,Co,15,4,3,Co ban bao cao tu dong,14
SV0008,Sinh vien,DH Can Tho,Luat,Nam,19,Dai hoc,1,4,Khac,1,3,Chi phi ban quyen cao,5,4,2,4,5,Co,5,4,5,Ho tro nhieu dinh dang file,20
SV0175,Sinh vien,DH Hue,Khoa hoc may tinh,Nu,19,Dai hoc,3,3,R,4,3,Chi phi ban quyen cao,1,5,5,5,4,Co,0,4,3,Tich hop AI de goi y phan tich,12
SV0006,Sinh vien,DH Can Tho,Luat,Nu,22,Dai hoc,4,1,Excel,5,3,Khong duoc dao tao su dung,5,1,4,4,4,Co,5,3,3,Mien phi cho sinh vien,8
SV0169,Sinh vien,DH Kinh te Quoc dan,Tai chinh - Ngan hang,Nu,21,Dai hoc,1,1,Excel,3,5,Chi phi ban quyen cao,5,4,2,3,4,Co,5,4,3,Ho tro nhieu dinh dang file,15
SV0182,Sinh vien,DH Can Tho,Y khoa,Nam,23,Dai hoc,4,5,Excel,4,3,Giao dien phuc tap,3,5,5,1,3,Khong,0,1,3,Co giao dien tieng Viet,13
SV0174,Sinh vien,DH Kinh te TP.HCM,Khoa hoc may tinh,Nu,23,Dai hoc,3,3,SPSS,4,4,Chi phi ban quyen cao,4,2,3,5,3,Co,15,5,4,Tich hop AI de goi y phan tich,14
SV0093,Sinh vien,DH Can Tho,Quan tri kinh doanh,Nu,20,Dai hoc,5,3,SPSS,2,2,Khong co tai lieu tieng Viet,4,5,4,4,1,Co,15,5,4,Ho tro nhieu dinh dang file,11
SV0047,Sinh vien,DH Bach khoa HN,Ngu van,Nu,18,Dai hoc,3,1,Khong su dung,2,3,Giao dien phuc tap,3,3,4,3,3,Co,0,4,3,Ho tro nhieu dinh dang file,10
SV0207,Sinh vien,DH Ngoai thuong,Cong nghe thong tin,Nam,18,Dai hoc,2,2,Khong su dung,4,4,Khong duoc dao tao su dung,4,4,3,2,2,Co the,5,4,2,Co ban bao cao tu dong,11
SV0030,Sinh vien,DH Kinh te Quoc dan,Khoa hoc may tinh,Nu,18,Dai hoc,5,4,Excel,4,3,Khong co kho khan gi,3,4,5,3,4,Co,5,5,4,Ho tro nhieu dinh dang file,20
SV0145,Sinh vien,DH Thuong mai,Khoa hoc may tinh,Nam,18,Dai hoc,2,4,SPSS,3,1,Khong co kho khan gi,4,4,2,4,4,Co,15,4,4,Co ban bao cao tu dong,12
SV0049,Sinh vien,DH Su pham HN,Marketing,Nam,22,Dai hoc,4,2,SPSS,3,1,Khong co kho khan gi,3,1,5,5,5,Co the,10,5,5,Co huong dan su dung chi tiet,17
SV0032,Sinh vien,DH Da Nang,Luat,Nu,20,Dai hoc,5,2,SPSS,5,2,Khong co tai lieu tieng Viet,3,4,4,4,1,Co the,0,3,4,Tich hop AI de goi y phan tich,12
SV0141,Sinh vien,DH Hoa Sen,Ky thuat,Nu,23,Dai hoc,2,3,Khong su dung,3,3,Giao dien phuc tap,2,2,5,4,3,Khong,0,3,3,Co giao dien tieng Viet,11
GV0046,Giang vien,DH Hue,Cong nghe thong tin,Nam,40,ThS,8,4,Excel,2,2,Chi phi ban quyen cao,4,2,5,4,5,Co,20,2,3,Co huong dan su dung chi tiet,17
SV0114,Sinh vien,DH Da Nang,Ngu van,Nu,23,Dai hoc,5,5,Excel,4,1,Khong co kho khan gi,1,1,2,4,2,Co,0,4,1,Co ban bao cao tu dong,18
GV0027,Giang vien,DH Kinh te Quoc dan,Luat,Nam,60,PGS.TS,30,4,Khac,4,3,Khong co kho khan gi,4,5,4,4,3,Co the,20,3,5,Mien phi cho sinh vien,24
SV0181,Sinh vien,DH Can Tho,Xa hoi hoc,Nu,20,Dai hoc,1,4,Excel,1,1,Khong co kho khan gi,3,4,3,3,3,Co,0,5,3,Tich hop AI de goi y phan tich,15
SV0211,Sinh vien,DH Ton Duc Thang,Marketing,Nam,18,Dai hoc,5,3,Khong su dung,4,3,Giao dien phuc tap,5,2,3,4,4,Co the,0,5,5,Co giao dien tieng Viet,11
SV0089,Sinh vien,DH Quoc gia HN,Ngu van,Nam,19,Dai hoc,4,1,SPSS,5,4,Khong co tai lieu tieng Viet,3,5,3,3,4,Co,10,4,4,Mien phi cho sinh vien,22
GV0031,Giang vien,DH Can Tho,Tai chinh - Ngan hang,Nam,33,TS,5,5,Khac,4,3,Chi phi ban quyen cao,3,3,4,3,2,Co the,0,4,2,Ho tro nhieu dinh dang file,25
GV0053,Giang vien,DH Su pham HN,Ngu van,Nam,37,PGS.TS,7,4,Python,4,2,Chi phi ban quyen cao,5,5,4,3,5,Co,10,4,1,Co giao dien tieng Viet,14
SV0013,Sinh vien,DH Da Nang,Marketing,Nam,22,Dai hoc,1,3,SPSS,2,1,Khong co tai lieu tieng Viet,4,5,3,5,2,Co,5,4,3,Co giao dien tieng Viet,22
SV0078,Sinh vien,DH Quoc gia HN,Xa hoi hoc,Nu,22,Dai hoc,3,2,Excel,4,4,Khong co kho khan gi,4,3,2,4,5,Co,0,5,5,Tich hop AI de goi y phan tich,22
GV0063,Giang vien,DH Da Nang,Ngu van,Nam,48,TS,17,3,Stata,2,4,Khong duoc dao tao su dung,4,5,5,3,5,Co the,0,2,4,Tich hop AI de goi y phan tich,15
GV0048,Giang vien,DH Ton Duc Thang,Tai chinh - Ngan hang,Nam,52,GS.TS,19,4,SPSS,4,4,Khong co kho khan gi,3,4,4,4,5,Co,0,4,4,Co ban bao cao tu dong,27
GV0067,Giang vien,DH Thuong mai,Ngu van,Nu,39,GS.TS,11,4,Excel,4,4,Khong co tai lieu tieng Viet,5,3,4,4,3,Co the,5,4,4,Co giao dien tieng Viet,13
SV0156,Sinh vien,DH Su pham HN,Ky thuat,Nam,24,Dai hoc,5,1,Excel,3,3,Khong co tai lieu tieng Viet,3,4,3,3,1,Co,0,5,3,Mien phi cho sinh vien,16
SV0180,Sinh vien,DH Hoa Sen,Marketing,Nu,20,Dai hoc,2,3,SPSS,2,4,Giao dien phuc tap,4,2,5,5,2,Co,5,4,3,Co giao dien tieng Viet,8
SV0074,Sinh vien,DH Can Tho,Y khoa,Nu,22,Dai hoc,4,1,Excel,5,2,Khong co tai lieu tieng Viet,5,5,4,4,3,Co,0,3,3,Co giao dien tieng Viet,21
SV0159,Sinh vien,DH Su pham HN,Cong nghe thong tin,Nu,20,Dai hoc,2,3,Khong su dung,4,3,Chi phi ban quyen cao,2,4,2,3,4,Co,0,5,4,Ho tro nhieu dinh dang file,9
SV0082,Sinh vien,DH Quoc gia HN,Luat,Nu,21,Dai hoc,3,4,Excel,3,3,Khong co kho khan gi,3,5,1,3,4,Co the,0,5,4,Co huong dan su dung chi tiet,17
GV0032,Giang vien,DH Da Nang,Y khoa,Nam,48,ThS,16,3,SmartPLS,3,5,Khong duoc dao tao su dung,3,2,5,4,5,Co,10,4,3,Tich hop AI de goi y phan tich,23
GV0001,Giang vien,DH Thuong mai,Y khoa,Nu,37,GS.TS,6,1,SPSS,2,5,Khong co tai lieu tieng Viet,2,3,4,4,5,Khong,5,4,3,Ho tro nhieu dinh dang file,13
SV0066,Sinh vien,DH Hue,Ky thuat,Nu,20,Dai hoc,3,3,Khong su dung,4,2,Giao dien phuc tap,3,3,3,5,2,Khong,5,4,4,Ho tro nhieu dinh dang file,15
SV0067,Sinh vien,DH Hoa Sen,Giao duc hoc,Nu,19,Dai hoc,3,3,Excel,3,4,Khong duoc dao tao su dung,2,4,3,4,2,Co the,0,5,5,Ho tro nhieu dinh dang file,17
GV0012,Giang vien,DH Can Tho,Marketing,Nu,56,ThS,28,3,Stata,4,4,Khong duoc dao tao su dung,4,3,4,5,4,Co the,20,4,3,Co giao dien tieng Viet,16
GV0006,Giang vien,DH Hoa Sen,Quan tri kinh doanh,Nu,39,TS,6,5,Python,2,4,Thieu tinh nang can thiet,3,3,3,4,3,Co,20,5,4,Ho tro nhieu dinh dang file,12
SV0087,Sinh vien,DH Hue,Giao duc hoc,Nu,18,Dai hoc,5,4,SPSS,1,3,Khong duoc dao tao su dung,3,3,4,4,1,Co the,5,4,3,Co huong dan su dung chi tiet,20
SV0173,Sinh vien,DH Bach khoa HN,Y khoa,Nam,22,Dai hoc,4,3,Khac,3,3,Thieu tinh nang can thiet,3,5,5,4,3,Co,0,4,5,Co huong dan su dung chi tiet,18
GV0014,Giang vien,DH Hoa Sen,Y khoa,Nu,48,ThS,15,4,SPSS,1,3,Thieu tinh nang can thiet,5,4,5,5,4,Co,20,4,4,Mien phi cho sinh vien,25
SV0020,Sinh vien,DH Kinh te TP.HCM,Quan tri kinh doanh,Nam,20,Dai hoc,5,4,SPSS,5,2,Thieu tinh nang can thiet,1,4,3,5,4,Khong,0,5,2,Co giao dien tieng Viet,19
GV0005,Giang vien,DH Su pham HN,Marketing,Nu,46,PGS.TS,13,3,Excel,4,3,Thieu tinh nang can thiet,4,1,5,3,2,Co the,15,2,5,Mien phi cho sinh vien,22
SV0151,Sinh vien,DH Thuong mai,Ke toan - Kiem toan,Nam,22,Dai hoc,1,3,Excel,5,2,Thieu tinh nang can thiet,5,5,4,5,3,Co,0,5,2,Ho tro nhieu dinh dang file,9
SV0115,Sinh vien,DH Hoa Sen,Cong nghe thong tin,Nu,18,Dai hoc,1,3,Excel,1,4,Khong duoc dao tao su dung,5,1,5,4,5,Co the,0,2,2,Co huong dan su dung chi tiet,17
SV0194,Sinh vien,DH Can Tho,Marketing,Nu,21,Dai hoc,5,4,Excel,3,5,Giao dien phuc tap,4,3,5,2,4,Co,0,5,3,Ho tro nhieu dinh dang file,22
GV0023,Giang vien,DH Su pham HN,Giao duc hoc,Nu,43,PGS.TS,15,4,Excel,5,4,Thieu tinh nang can thiet,5,3,5,4,4,Co,10,4,4,Ho tro nhieu dinh dang file,21
SV0220,Sinh vien,DH Hoa Sen,Ky thuat,Nam,22,Dai hoc,3,3,SPSS,2,3,Khong co kho khan gi,3,2,5,3,3,Co the,15,2,3,Tich hop AI de goi y phan tich,20
SV0010,Sinh vien,DH Hue,Ke toan - Kiem toan,Nam,23,Dai hoc,3,3,Excel,3,4,Khong duoc dao tao su dung,4,5,5,3,2,Co,5,4,4,Co ban bao cao tu dong,18
GV0062,Giang vien,DH Da Nang,Tai chinh - Ngan hang,Nu,57,PGS.TS,27,2,Khac,4,2,Chi phi ban quyen cao,4,3,5,4,5,Co,0,5,5,Co ban bao cao tu dong,25
